"DateTime";"Final price";"Historical low"
"2023-01-26 18:05:03";12;12
"2023-01-30 18:24:31";59,99;12
"2023-03-02 18:03:38";11,99;11,99
"2023-03-09 18:03:40";59,99;11,99
"2023-03-16 17:31:10";11,99;11,99
"2023-03-23 17:27:30";59,99;11,99
"2023-06-01 17:04:28";8,99;8,99
"2023-06-08 17:04:11";59,99;8,99
"2023-06-29 17:24:09";8,99;8,99
"2023-07-13 17:28:09";59,99;8,99
"2023-07-24 17:25:17";8,99;8,99
"2023-07-31 17:24:48";59,99;8,99
"2023-09-10 17:03:28";8,99;8,99
"2023-09-17 17:03:07";59,99;8,99
"2023-11-09 18:03:07";8,99;8,99
"2023-11-16 18:03:01";59,99;8,99
"2023-11-21 18:24:56";8,99;8,99
"2023-11-28 18:33:59";59,99;8,99
"2023-12-21 18:15:45";8,99;8,99
"2024-01-15 18:24:33";59,99;8,99
"2024-02-15 18:28:33";8,99;8,99
"2024-02-29 18:03:21";59,99;8,99
"2024-03-14 17:49:17";8,99;8,99
"2024-03-21 17:34:04";59,99;8,99
"2024-05-13 17:25:06";8,99;8,99
"2024-05-20 17:25:11";59,99;8,99
"2024-06-19 17:03:44";8,99;8,99
"2024-06-24 17:24:15";59,99;8,99
"2024-06-27 17:57:33";5,99;5,99
"2024-07-09 14:32:18";5,99;5,99
"2024-07-09 14:32:18";;5,99